N,coverage,match_level,ethnicity,model_variant
5872786.613189477,0.9999999999999996,8of8,Chinese,same_ethnicity
6294988.990221888,1.0,8of8,Chinese,same_ethnicity
6747544.053110686,1.0,8of8,Chinese,same_ethnicity
7232633.896483534,1.0,8of8,Chinese,same_ethnicity
7752597.488629464,1.0,8of8,Chinese,same_ethnicity
8309941.949353387,1.0,8of8,Chinese,same_ethnicity
8907354.63861044,1.0,8of8,Chinese,same_ethnicity
9547716.114208067,1.0,8of8,Chinese,same_ethnicity
10234114.021054527,1.0,8of8,Chinese,same_ethnicity
10969857.97892384,1.0,8of8,Chinese,same_ethnicity
11758495.540521558,1.0,8of8,Chinese,same_ethnicity
12603829.296797274,1.0,8of8,Chinese,same_ethnicity
13509935.211980252,1.0,8of8,Chinese,same_ethnicity
14481182.27674533,1.0,8of8,Chinese,same_ethnicity
15522253.57427048,1.0,8of8,Chinese,same_ethnicity
16638168.860761274,1.0,8of8,Chinese,same_ethnicity
17834308.769319095,1.0,8of8,Chinese,same_ethnicity
19116440.753856998,1.0,8of8,Chinese,same_ethnicity
20490746.89815846,1.0,8of8,Chinese,same_ethnicity
21963853.72416547,1.0,8of8,Chinese,same_ethnicity
23542864.143224154,1.0,8of8,Chinese,same_ethnicity
25235391.70434766,1.0,8of8,Chinese,same_ethnicity
27049597.304631315,1.0,8of8,Chinese,same_ethnicity
28994228.538828753,1.0,8of8,Chinese,same_ethnicity
31078661.877820138,1.0,8of8,Chinese,same_ethnicity
33312947.879346702,1.0,8of8,Chinese,same_ethnicity
35707859.64900462,1.0,8of8,Chinese,same_ethnicity
38274944.785163075,1.0,8of8,Chinese,same_ethnicity
41026581.0582719,1.0,8of8,Chinese,same_ethnicity
43976036.09302721,1.0,8of8,Chinese,same_ethnicity
47137531.34116719,1.0,8of8,Chinese,same_ethnicity
50526310.6533568,1.0,8of8,Chinese,same_ethnicity
54158713.78079465,1.0,8of8,Chinese,same_ethnicity
58052255.160948955,1.0,8of8,Chinese,same_ethnicity
62225708.36730231,1.0,8of8,Chinese,same_ethnicity
66699196.63030115,1.0,8of8,Chinese,same_ethnicity
71494289.86597577,1.0,8of8,Chinese,same_ethnicity
76634108.68007447,1.0,8of8,Chinese,same_ethnicity
82143435.84919421,1.0,8of8,Chinese,same_ethnicity
88048835.81643465,1.0,8of8,Chinese,same_ethnicity
94378782.77775371,1.0,8of8,Chinese,same_ethnicity
101163797.9766207,1.0,8of8,Chinese,same_ethnicity
108436596.86896087,1.0,8of8,Chinese,same_ethnicity
116232246.86798495,1.0,8of8,Chinese,same_ethnicity
124588336.42950082,1.0,8of8,Chinese,same_ethnicity
133545156.29298975,1.0,8of8,Chinese,same_ethnicity
143145893.75234815,1.0,8of8,Chinese,same_ethnicity
153436840.89300132,1.0,8of8,Chinese,same_ethnicity
164467617.79946628,1.0,8of8,Chinese,same_ethnicity
176291411.80959442,1.0,8of8,Chinese,same_ethnicity
188965233.96912038,1.0,8of8,Chinese,same_ethnicity
202550193.92306665,1.0,8of8,Chinese,same_ethnicity
217111794.56945008,1.0,8of8,Chinese,same_ethnicity
232720247.8960412,1.0,8of8,Chinese,same_ethnicity
249450813.52303165,1.0,8of8,Chinese,same_ethnicity
267384161.5839944,1.0,8of8,Chinese,same_ethnicity
286606761.69482446,1.0,8of8,Chinese,same_ethnicity
307211299.8861747,1.0,8of8,Chinese,same_ethnicity
329297125.5097148,1.0,8of8,Chinese,same_ethnicity
352970730.27306575,1.0,8of8,Chinese,same_ethnicity
378346261.7131933,1.0,8of8,Chinese,same_ethnicity
405546073.5840828,1.0,8of8,Chinese,same_ethnicity
434701315.8125017,1.0,8of8,Chinese,same_ethnicity
465952566.86646676,1.0,8of8,Chinese,same_ethnicity
499450511.585514,1.0,8of8,Chinese,same_ethnicity
