ethnicity,locus,allele,frequency,n_alleles
Chinese,HLA-B,40:40,0.00010135135135135135,88800
Chinese,HLA-B,15:08,0.00010135135135135135,88800
Chinese,HLA-B,56:10,0.00010135135135135135,88800
Chinese,HLA-B,53:01,9.009009009009009e-05,88800
Chinese,HLA-B,55:07,9.009009009009009e-05,88800
Chinese,HLA-B,15:10,7.882882882882882e-05,88800
Chinese,HLA-B,35:11,5.630630630630631e-05,88800
Chinese,HLA-B,59:01,5.630630630630631e-05,88800
Chinese,HLA-B,15:06,4.5045045045045046e-05,88800
Chinese,HLA-B,15:88,4.5045045045045046e-05,88800
Chinese,HLA-B,40:76,4.5045045045045046e-05,88800
Chinese,HLA-B,40:CWKWX,4.5045045045045046e-05,88800
Chinese,HLA-B,40:10,3.3783783783783784e-05,88800
Chinese,HLA-B,15:66,3.3783783783783784e-05,88800
Chinese,HLA-B,39:36,3.3783783783783784e-05,88800
Chinese,HLA-B,48:04,3.3783783783783784e-05,88800
Chinese,HLA-B,58:74,3.3783783783783784e-05,88800
Chinese,HLA-B,40:62,2.2522522522522523e-05,88800
Chinese,HLA-B,35:51,2.2522522522522523e-05,88800
Chinese,HLA-B,41:02,2.2522522522522523e-05,88800
Chinese,HLA-B,37:04,2.2522522522522523e-05,88800
Chinese,HLA-B,07:249,2.2522522522522523e-05,88800
Chinese,HLA-B,15:325,2.2522522522522523e-05,88800
Chinese,HLA-B,15:15,2.2522522522522523e-05,88800
Chinese,HLA-B,38:15,2.2522522522522523e-05,88800
Chinese,HLA-B,27:02,2.2522522522522523e-05,88800
Chinese,HLA-B,51:08,2.2522522522522523e-05,88800
Chinese,HLA-B,39:38Q,2.2522522522522523e-05,88800
Chinese,HLA-B,15:XX,2.2522522522522523e-05,88800
Chinese,HLA-B,73:01,2.2522522522522523e-05,88800
Chinese,HLA-B,58:85,2.2522522522522523e-05,88800
Chinese,HLA-B,15:425,2.2522522522522523e-05,88800
Chinese,HLA-B,13:06,1.1261261261261261e-05,88800
Chinese,HLA-B,27:86,1.1261261261261261e-05,88800
Chinese,HLA-B,40:69,1.1261261261261261e-05,88800
Chinese,HLA-B,51:36,1.1261261261261261e-05,88800
Chinese,HLA-B,39:10,1.1261261261261261e-05,88800
Chinese,HLA-B,57:02,1.1261261261261261e-05,88800
Chinese,HLA-B,39:02,1.1261261261261261e-05,88800
Chinese,HLA-B,27:21,1.1261261261261261e-05,88800
Chinese,HLA-B,07:317,1.1261261261261261e-05,88800
Chinese,HLA-B,15:109,1.1261261261261261e-05,88800
Chinese,HLA-B,35:375,1.1261261261261261e-05,88800
Chinese,HLA-B,15:39,1.1261261261261261e-05,88800
Chinese,HLA-B,39:06,1.1261261261261261e-05,88800
Chinese,HLA-B,07:10,1.1261261261261261e-05,88800
Chinese,HLA-B,15:86,1.1261261261261261e-05,88800
Chinese,HLA-B,07:18,1.1261261261261261e-05,88800
Chinese,HLA-B,51:AJPSD,1.1261261261261261e-05,88800
Chinese,HLA-B,35:CAVME,1.1261261261261261e-05,88800
Chinese,HLA-B,15:316,1.1261261261261261e-05,88800
Chinese,HLA-B,35:137,1.1261261261261261e-05,88800
Chinese,HLA-B,07:CEJTV,1.1261261261261261e-05,88800
Chinese,HLA-B,35:CVHTV,1.1261261261261261e-05,88800
Chinese,HLA-B,15:29,1.1261261261261261e-05,88800
Chinese,HLA-B,40:122,1.1261261261261261e-05,88800
Chinese,HLA-B,58:02,1.1261261261261261e-05,88800
Chinese,HLA-B,54:10,1.1261261261261261e-05,88800
Chinese,HLA-B,40:339,1.1261261261261261e-05,88800
Chinese,HLA-B,54:36,1.1261261261261261e-05,88800
Chinese,HLA-B,15:64,1.1261261261261261e-05,88800
Chinese,HLA-B,55:34,1.1261261261261261e-05,88800
Chinese,HLA-B,58:41,1.1261261261261261e-05,88800
Chinese,HLA-B,14:01,1.1261261261261261e-05,88800
Chinese,HLA-B,59:08,1.1261261261261261e-05,88800
Chinese,HLA-B,27:18,1.1261261261261261e-05,88800
Chinese,HLA-B,46:62,1.1261261261261261e-05,88800
Chinese,HLA-B,51:39,1.1261261261261261e-05,88800
Chinese,HLA-B,40:78,1.1261261261261261e-05,88800
Chinese,HLA-B,40:306,1.1261261261261261e-05,88800
Chinese,HLA-B,15:141,1.1261261261261261e-05,88800
Chinese,HLA-B,15:CAVKW,1.1261261261261261e-05,88800
Chinese,HLA-B,46:43,1.1261261261261261e-05,88800
Chinese,HLA-B,40:CAVMH,1.1261261261261261e-05,88800
Chinese,HLA-B,51:AXDBR,1.1261261261261261e-05,88800
Chinese,HLA-B,58:CAVMX,1.1261261261261261e-05,88800
Chinese,HLA-B,40:CMVGM,1.1261261261261261e-05,88800
Chinese,HLA-C,07:02,0.19949324324324325,88800
Chinese,HLA-C,01:02,0.18221846846846848,88800
Chinese,HLA-C,03:04,0.12574324324324324,88800
Chinese,HLA-C,03:02,0.110259009009009,88800
Chinese,HLA-C,08:01,0.08859234234234234,88800
Chinese,HLA-C,04:01,0.04623873873873874,88800
Chinese,HLA-C,03:03,0.04418918918918919,88800
Chinese,HLA-C,15:02,0.03845720720720721,88800
Chinese,HLA-C,12:02,0.03640765765765766,88800
Chinese,HLA-C,14:02,0.03618243243243243,88800
Chinese,HLA-C,06:02,0.024797297297297297,88800
Chinese,HLA-C,04:03,0.017376126126126126,88800
Chinese,HLA-C,12:03,0.012961711711711711,88800
Chinese,HLA-C,07:04,0.008581081081081082,88800
Chinese,HLA-C,07:01,0.006182432432432433,88800
Chinese,HLA-C,15:05,0.004268018018018018,88800
Chinese,HLA-C,01:03,0.003997747747747748,88800
Chinese,HLA-C,08:03,0.002961711711711712,88800
Chinese,HLA-C,05:01,0.0017567567567567568,88800
Chinese,HLA-C,14:03,0.0014752252252252251,88800
Chinese,HLA-C,02:02,0.0012837837837837837,88800
Chinese,HLA-C,16:02,0.00115990990990991,88800
Chinese,HLA-C,01:08,0.001081081081081081,88800
Chinese,HLA-C,03:17,0.0005292792792792793,88800
Chinese,HLA-C,01:06,0.00039414414414414413,88800
Chinese,HLA-C,04:06,0.00033783783783783786,88800
Chinese,HLA-C,16:04,0.0003265765765765766,88800
Chinese,HLA-C,03:21,0.00022522522522522523,88800
Chinese,HLA-C,07:27,0.00019144144144144144,88800
Chinese,HLA-C,07:56,0.00019144144144144144,88800
Chinese,HLA-C,03:36,0.00016891891891891893,88800
Chinese,HLA-C,07:43,0.00016891891891891893,88800
Chinese,HLA-C,08:02,0.00016891891891891893,88800
Chinese,HLA-C,03:85,0.0001463963963963964,88800
Chinese,HLA-C,17:01,0.0001463963963963964,88800
Chinese,HLA-C,15:04,9.009009009009009e-05,88800
Chinese,HLA-C,03:187,5.630630630630631e-05,88800
Chinese,HLA-C,03:258,5.630630630630631e-05,88800
Chinese,HLA-C,14:29,5.630630630630631e-05,88800
Chinese,HLA-C,12:04,5.630630630630631e-05,88800
Chinese,HLA-C,03:CWKXH,4.5045045045045046e-05,88800
Chinese,HLA-C,03:43,3.3783783783783784e-05,88800
Chinese,HLA-C,07:393N,3.3783783783783784e-05,88800
Chinese,HLA-C,07:39,3.3783783783783784e-05,88800
Chinese,HLA-C,08:127N,3.3783783783783784e-05,88800
Chinese,HLA-C,04:JKTU,3.3783783783783784e-05,88800
Chinese,HLA-C,01:CWKXC,3.3783783783783784e-05,88800
Chinese,HLA-C,16:01,3.3783783783783784e-05,88800
Chinese,HLA-C,03:32,3.3783783783783784e-05,88800
Chinese,HLA-C,03:328,2.2522522522522523e-05,88800
Chinese,HLA-C,07:63,2.2522522522522523e-05,88800
Chinese,HLA-C,04:BEPTF,2.2522522522522523e-05,88800
Chinese,HLA-C,07:CAVPF,2.2522522522522523e-05,88800
Chinese,HLA-C,03:46,2.2522522522522523e-05,88800
Chinese,HLA-C,12:18,2.2522522522522523e-05,88800
Chinese,HLA-C,15:11,2.2522522522522523e-05,88800
Chinese,HLA-C,12:130,2.2522522522522523e-05,88800
Chinese,HLA-C,07:CWKXT,2.2522522522522523e-05,88800
Chinese,HLA-C,01:54,1.1261261261261261e-05,88800
Chinese,HLA-C,03:58,1.1261261261261261e-05,88800
Chinese,HLA-C,03:48,1.1261261261261261e-05,88800
Chinese,HLA-C,01:125,1.1261261261261261e-05,88800
Chinese,HLA-C,03:329,1.1261261261261261e-05,88800
Chinese,HLA-C,01:14,1.1261261261261261e-05,88800
Chinese,HLA-C,06:30,1.1261261261261261e-05,88800
Chinese,HLA-C,03:349,1.1261261261261261e-05,88800
