sample_id,cluster,pc1,pc2
BMDP_OUT_12406,Cluster_1,1.3425021724349284,0.37060573217734866
BMDP_OUT_12407,Cluster_1,1.3425021724349284,0.37060573217734866
BMDP_OUT_12409,Cluster_2,0.10487665619018216,1.4962498354581784
BMDP_OUT_12410,Cluster_2,-1.0590623809806878,0.21028089274501116
BMDP_OUT_12411,Cluster_3,0.029821221275424345,-0.4195574377758696
BMDP_OUT_12412,Cluster_1,1.0668916919572062,0.1596240815479234
BMDP_OUT_12414,Cluster_3,-0.4644449516112783,-0.7110925631193004
BMDP_OUT_12584,Cluster_3,-0.42546800926109174,-0.8762648138138746
BMDP_OUT_12602,Cluster_1,1.9437242949434879,0.5926033546092276
BMDP_OUT_12624,Cluster_3,0.8414371840654625,-0.05160708101607028
BMDP_OUT_12625,Cluster_1,0.38040495567067567,1.4680898466970822
BMDP_OUT_12626,Cluster_3,0.3403775422096396,-0.20502369276338736
BMDP_OUT_12628,Cluster_3,-0.5687106171827845,-0.16274278684052346
BMDP_OUT_12737,Cluster_1,0.9890376481049563,0.16960191728473495
BMDP_OUT_12767,Cluster_1,1.8509636467868988,0.6582443218803987
BMDP_OUT_12768,Cluster_3,-0.2777169686714387,-0.6904878261900372
BMDP_OUT_12797,Cluster_1,1.7177373630251522,0.4200229443501884
BMDP_OUT_12800,Cluster_1,1.1476280583293503,0.31175819986758735
BMDP_OUT_12812,Cluster_1,1.8699084477818846,0.46441834117956027
BMDP_OUT_12813,Cluster_3,0.0332910743356849,-1.0650440164104715
BMDP_OUT_12814,Cluster_3,-0.46328664735762903,-0.08416569972163017
BMDP_OUT_12815,Cluster_1,1.017917089606019,0.2995648831637144
BMDP_OUT_12816,Cluster_2,-0.7700036685475525,1.0685163293795508
BMDP_OUT_12905,Cluster_3,-0.2061603792177709,-0.6230762063028852
BMDP_OUT_12906,Cluster_3,-0.5344130874074359,-1.2426906350989313
BMDP_OUT_12907,Cluster_3,-0.7419969613923384,-1.3852506038957442
BMDP_OUT_12908,Cluster_3,-0.4985135613873297,-0.7139672100849518
BMDP_OUT_12909,Cluster_3,-0.46321666133192185,-1.0839427630767402
BMDP_OUT_12910,Cluster_3,-0.7331178951766347,-0.1979589897662805
BMDP_OUT_12911,Cluster_3,-0.9327278740202307,-1.0123960578644873
BMDP_OUT_12912,Cluster_1,1.3651431359107615,0.2896345959431147
BMDP_OUT_12913,Cluster_3,0.5783444664448346,-0.1879289329044579
BMDP_OUT_12914,Cluster_1,0.9163211088663762,0.1386706103746458
BMDP_OUT_12915,Cluster_2,-0.5279513403129539,0.28912184200679214
BMDP_OUT_13346,Cluster_2,-1.1311912454246398,1.0800030126779234
BMDP_OUT_13347,Cluster_1,0.8496722574587585,0.13263503091529366
BMDP_OUT_13348,Cluster_3,-0.04650020195027696,-0.7305219931433046
BMDP_OUT_13349,Cluster_2,-0.6554706507766487,0.39653211467689975
BMDP_OUT_13350,Cluster_2,-1.0804894524262358,-0.29218600599535616
BMDP_OUT_13352,Cluster_1,1.1315773781665877,0.23533284453510367
BMDP_OUT_13353,Cluster_2,-0.031773141310256325,0.858605681996163
BMDP_OUT_13354,Cluster_3,-0.39310601258627265,-0.6663947035932666
BMDP_OUT_13355,Cluster_1,0.927913642864038,-0.05052747724685262
BMDP_OUT_13371,Cluster_3,-0.1913159574459198,-0.21822392980574334
BMDP_OUT_13372,Cluster_1,1.4221030859142199,0.4032109772115001
BMDP_OUT_13382,Cluster_3,0.19025732203216122,-0.3193386471671218
BMDP_OUT_13383,Cluster_1,0.8987457814134912,-0.36853716611863435
BMDP_OUT_13384,Cluster_3,-0.7118278512398113,-1.20810931842427
BMDP_OUT_13385,Cluster_2,0.1829411581487329,-0.00909105488637764
BMDP_OUT_13386,Cluster_3,-0.017452789473501235,-0.47522552009307556
BMDP_OUT_13387,Cluster_1,0.8893465242855889,0.00620338905828928
BMDP_OUT_13388,Cluster_1,0.6280142349325876,0.556922421160508
BMDP_OUT_13389,Cluster_1,0.5809559956463712,0.8669258175556852
BMDP_OUT_13426,Cluster_2,-0.8514731586904956,1.1038151890725885
BMDP_OUT_13441,Cluster_3,0.13723256073955545,-0.23313430103028882
BMDP_OUT_13442,Cluster_3,0.015478092030612206,-0.6227929856428375
BMDP_OUT_13443,Cluster_2,-0.24563873569397268,0.5116088246996903
BMDP_OUT_13444,Cluster_2,-0.5200493297361463,0.23565004500995912
BMDP_OUT_13445,Cluster_3,-0.1750154940345209,-0.6674515968958581
BMDP_OUT_13446,Cluster_1,1.356879925440118,-0.18624175396513065
BMDP_OUT_13469,Cluster_2,-0.37303535924406295,0.12803541804598517
BMDP_OUT_13470,Cluster_1,1.3004988276835618,0.4948223287048381
BMDP_OUT_13482,Cluster_2,-0.17468906773761658,0.18791353867407862
BMDP_OUT_13483,Cluster_2,-0.9568812831813363,0.168658260822459
BMDP_OUT_13497,Cluster_2,-0.7189105778918793,0.4018452108166435
BMDP_OUT_13498,Cluster_2,-0.7316839969831661,-0.30108611481258535
BMDP_OUT_13510,Cluster_3,0.37513100258388277,-0.6165563303647176
BMDP_OUT_13544,Cluster_1,0.6336509864812397,-0.7320930382806986
BMDP_OUT_13545,Cluster_3,-0.03147035749341909,0.04862796805194451
